Organism Name,# of essential genes,NCBI Taxonomy ID
Acaricomes phytoseiuli,296,1120917
Acaryochloris marina,788,329726
Accumulibacter phosphatis,892,522306
Accumulibacter sp. BA93,1121,1454004
Acetobacter aceti 1023,572,1457393
Acetobacter aceti ATCC23746,558,663932
Acetobacter malorum,511,178901
Acetobacter nitrogenifigens,667,1120919
Acetobacter okinawensis,851,1236501
Acetobacter pasteurianus 3P3,322,940282
Acetobacter pasteurianus IFO328301,289,634452
Acetobacteraceae bacterium AT5844,1302,1054213
Achromobacter arsenitoxydans,1533,477184
Achromobacter insuavis,1701,1003200
Achromobacter piechaudii ATCC43553,1481,742159
Achromobacter piechaudii HLE,1714,1156919
Achromobacter sp. RTa,1744,1532557
Achromobacter xylosoxidans A8,1273,762376
Achromobacter xylosoxidans NBRC15126,893,1216976
Acidimicrobium ferrooxidans,229,525909
Acidiphilium angustum,882,1408418
Acidiphilium cryptum,465,349163
Acidithiobacillus caldus,357,637389
Acidithiobacillus ferrivorans,344,743299
Acidithiobacillus ferrooxidans ATCC23270,357,243159
Acidithiobacillus ferrooxidans ATCC53993,345,380394
Acidithiobacillus thiooxidans,596,637390
Acidobacteria bacterium KBS146,803,639030
Acidobacteriaceae bacterium KBS83,1227,1267533
Acidobacteriaceae bacterium KBS89,1064,1267534
Acidobacteriaceae bacterium KBS96,1427,1267535
Acidobacteriaceae bacterium TAA166,644,278963
Acidobacterium capsulatum,345,240015
Acidobacterium sp. PMMR2,620,1382359
Acidocella facilis,723,1408419
Acidothermus cellulolyticus,292,351607
Acidovorax citrulli,872,397945
Acidovorax ebreus,609,535289
Acidovorax sp. JHL9,834,1276756
Acidovorax sp. JS42,684,232721
Acidovorax sp. KKS102,758,358220
Acidovorax sp. MRS7,1377,1268622
Acinetobacter baumannii,381,470
Acinetobacter beijerinckii,462,1217648
Acinetobacter bereziniae,754,106648
Acinetobacter bohemicus,523,1217715
Acinetobacter bouvetii,523,1120925
Acinetobacter brisouii,606,1217652
Acinetobacter calcoaceticus,437,871585
Acinetobacter gerneri,775,202952
Acinetobacter guillouiae,724,1217656
Acinetobacter gyllenbergii,683,1217658
Acinetobacter haemolyticus,339,1331660
Acinetobacter indicus,543,1341679
Acinetobacter johnsonii,436,575586
Acinetobacter junii,291,40215
Acinetobacter lwoffii NCTC 5866,443,981327
Acinetobacter lwoffii SH145,588,575588
Acinetobacter lwoffii WJ10621,345,1046625
Acinetobacter nectaris,305,1392540
Acinetobacter oleivorans,435,436717
Acinetobacter radioresistens,428,575589
Acinetobacter rudis,707,421052
Acinetobacter soli,367,487316
Acinetobacter sp. ADP1,410,62977
Acinetobacter sp. ANC3789,605,1217714
Acinetobacter sp. ANC3862,679,1217705
Acinetobacter sp. ANC4105,547,1217703
Acinetobacter sp. ATCC27244,393,525244
Acinetobacter sp. CIP102129,368,1144664
Acinetobacter sp. CIP56.2,583,1144672
Acinetobacter sp. CIPA165,515,40373
Acinetobacter sp. HR7,379,1509403
Acinetobacter sp. NCTC 7422,544,981223
Acinetobacter sp. NIPH2100,346,1217708
Acinetobacter sp. NIPH758,491,1217712
Acinetobacter sp. NIPH809,576,1217713
Acinetobacter sp. NIPH899,439,1217710
Acinetobacter sp. NIPH973,685,520709
Acinetobacter sp. P838,566,1029823
Acinetobacter sp. RUH2624,393,575564
Acinetobacter sp. Ver3,532,466088
Acinetobacter tandoii,675,202954
Acinetobacter tjernbergiae,495,202955
Acinetobacter towneri,389,202956
Acinetobacter ursingii,425,981336
Acinetobacter venetianus,454,1191460
Actibacterium atlanticum,438,1461693
Actinoalloteichus cyanogriseus,1184,65497
Actinobacillus capsulatus,359,1120931
Actinobacillus minor 202,333,591023
Actinobacillus minor NM305,319,637911
Actinobacillus pleuropneumoniae 1 4074,367,228399
Actinobacillus pleuropneumoniae 5b L20,368,416269
Actinobacillus succinogenes,321,339671
Actinobacillus suis,397,696748
actinobacterium LLX17,564,1229203
actinobacterium PHSC20C1,136,312284
Actinobaculum massiliae,77,883066
Actinobaculum schaalii,110,883067
Actinobaculum sp. F0552,173,1227261
Actinobaculum urinale,67,1120933
Actinocatenispora sera,1485,390989
Actinokineospora enzanensis,1854,1120934
Actinokineospora sp. EG49,1605,909613
Actinomadura atramentaria,1280,1120936
Actinomadura flavalba,1639,561175
Actinomadura madurae,1556,1394178
Actinomyces cardiffensis,114,888050
Actinomyces coleocanis,80,525245
Actinomyces dentalis,540,1120941
Actinomyces europaeus,189,883069
Actinomyces georgiae,280,1120942
Actinomyces graevenitzii,215,435830
Actinomyces israelii,553,1120944
Actinomyces massiliensis,419,1125718
Actinomyces naeslundii,485,1115803
Actinomyces neuii BVS029A5,113,888439
Actinomyces neuii DSM8576,264,1120945
