1265310.CCBD010000081_gene5083,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.9
1265310.CCBD010000045_gene868,clpX,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;ATP-binding&nbsp;subunit&nbsp;ClpX,98.9
1265310.CCBD010000036_gene2387,CCBD010000036_gene2387,annotation&nbsp;not&nbsp;available,98.9
1265310.CCBD010000084_gene4440,CCBD010000084_gene4440,annotation&nbsp;not&nbsp;available,98.9
1265310.CCBD010000047_gene2479,CCBD010000047_gene2479,annotation&nbsp;not&nbsp;available,98.9
1265310.CCBD010000064_gene1087,CCBD010000064_gene1087,annotation&nbsp;not&nbsp;available,98.9
1265310.CCBD010000082_gene4896,CCBD010000082_gene4896,annotation&nbsp;not&nbsp;available,98.9
1265310.CCBD010000044_gene714,CCBD010000044_gene714,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000015_gene3553,CCBD010000015_gene3553,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000030_gene1642,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.8
1265310.CCBD010000015_gene3675,CCBD010000015_gene3675,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000050_gene1970,CCBD010000050_gene1970,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000047_gene2510,CCBD010000047_gene2510,Isoprenyl&nbsp;transferase,98.8
1265310.CCBD010000011_gene3433,CCBD010000011_gene3433,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000055_gene1440,CCBD010000055_gene1440,annotation&nbsp;not&nbsp;available,98.8
1265310.CCBD010000082_gene4919,CCBD010000082_gene4919,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000065_gene917,CCBD010000065_gene917,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000069_gene493,CCBD010000069_gene493,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000019_gene4106,CCBD010000019_gene4106,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000007_gene2998,CCBD010000007_gene2998,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000091_gene4785,CCBD010000091_gene4785,annotation&nbsp;not&nbsp;available,98.7
1265310.CCBD010000030_gene1613,pyrB,annotation&nbsp;not&nbsp;available,98.6
1265310.CCBD010000018_gene4128,CCBD010000018_gene4128,annotation&nbsp;not&nbsp;available,98.6
1265310.CCBD010000093_gene4737,CCBD010000093_gene4737,annotation&nbsp;not&nbsp;available,98.6
1265310.CCBD010000069_gene410,CCBD010000069_gene410,annotation&nbsp;not&nbsp;available,98.6
1265310.CCBD010000008_gene2800,CCBD010000008_gene2800,annotation&nbsp;not&nbsp;available,98.6
