1283300.ATXB01000002_gene2924,ATXB01000002_gene2924,annotation&nbsp;not&nbsp;available,98.9
1283300.ATXB01000001_gene625,ATXB01000001_gene625,annotation&nbsp;not&nbsp;available,98.9
1283300.ATXB01000001_gene2116,ATXB01000001_gene2116,annotation&nbsp;not&nbsp;available,98.9
1283300.ATXB01000001_gene1540,ATXB01000001_gene1540,annotation&nbsp;not&nbsp;available,98.9
1283300.ATXB01000001_gene2218,ATXB01000001_gene2218,annotation&nbsp;not&nbsp;available,98.8
1283300.ATXB01000001_gene993,ATXB01000001_gene993,annotation&nbsp;not&nbsp;available,98.8
1283300.ATXB01000001_gene1485,ATXB01000001_gene1485,annotation&nbsp;not&nbsp;available,98.7
1283300.ATXB01000001_gene1224,ATXB01000001_gene1224,annotation&nbsp;not&nbsp;available,98.7
1283300.ATXB01000001_gene1421,ATXB01000001_gene1421,annotation&nbsp;not&nbsp;available,98.6
1283300.ATXB01000002_gene3021,ATXB01000002_gene3021,annotation&nbsp;not&nbsp;available,98.4
1283300.ATXB01000001_gene922,ATXB01000001_gene922,annotation&nbsp;not&nbsp;available,98.4
1283300.ATXB01000001_gene2306,ATXB01000001_gene2306,annotation&nbsp;not&nbsp;available,98.3
1283300.ATXB01000001_gene1300,ATXB01000001_gene1300,annotation&nbsp;not&nbsp;available,98.2
1283300.ATXB01000002_gene2608,ATXB01000002_gene2608,annotation&nbsp;not&nbsp;available,98.1
1283300.ATXB01000001_gene2033,ATXB01000001_gene2033,annotation&nbsp;not&nbsp;available,98.1
1283300.ATXB01000001_gene260,ATXB01000001_gene260,annotation&nbsp;not&nbsp;available,98.0
1283300.ATXB01000001_gene1333,ATXB01000001_gene1333,annotation&nbsp;not&nbsp;available,98.0
1283300.ATXB01000001_gene1388,ATXB01000001_gene1388,annotation&nbsp;not&nbsp;available,97.9
1283300.ATXB01000001_gene1675,ATXB01000001_gene1675,annotation&nbsp;not&nbsp;available,97.9
1283300.ATXB01000001_gene2493,ATXB01000001_gene2493,annotation&nbsp;not&nbsp;available,97.9
1283300.ATXB01000001_gene1722,ATXB01000001_gene1722,annotation&nbsp;not&nbsp;available,97.9
