1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000043_gene4838,AZRU01000043_gene4838,annotation&nbsp;not&nbsp;available,98.9
1437882.AZRU01000164_gene5533,AZRU01000164_gene5533,annotation&nbsp;not&nbsp;available,98.9
1437882.AZRU01000211_gene2657,AZRU01000211_gene2657,annotation&nbsp;not&nbsp;available,98.9
1437882.AZRU01000033_gene504,AZRU01000033_gene504,annotation&nbsp;not&nbsp;available,98.8
1437882.AZRU01000004_gene1880,AZRU01000004_gene1880,annotation&nbsp;not&nbsp;available,98.8
1437882.AZRU01000010_gene606,AZRU01000010_gene606,annotation&nbsp;not&nbsp;available,98.8
1437882.AZRU01000012_gene3504,dnaG,DNA&nbsp;primase,98.8
1437882.AZRU01000211_gene2582,AZRU01000211_gene2582,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000002_gene2376,AZRU01000002_gene2376,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000001_gene2111,AZRU01000001_gene2111,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000037_gene4385,folP,Dihydropteroate&nbsp;synthase,98.7
1437882.AZRU01000211_gene2533,AZRU01000211_gene2533,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000137_gene5625,AZRU01000137_gene5625,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000001_gene2208,AZRU01000001_gene2208,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000211_gene2478,AZRU01000211_gene2478,annotation&nbsp;not&nbsp;available,98.7
1437882.AZRU01000043_gene4814,AZRU01000043_gene4814,annotation&nbsp;not&nbsp;available,98.6
1437882.AZRU01000057_gene4211,fdhE,Protein&nbsp;FdhE&nbsp;homolog,98.6
1437882.AZRU01000042_gene4588,AZRU01000042_gene4588,annotation&nbsp;not&nbsp;available,98.6
